Hora,Tarifa,Tiempo
22.76666666666666,45.39,9.98579999999999
20.48333333333333,71.07,15.6354
22.83333333333,40.53,8.91659999999999
23.83333333333,36.43,8.01459999999999
15.533333333,25,5.49999999999999
12.88333333333,24.41,5.37019999999999
05.71666666666,0,6.71
11.2833333,21.89,4.8158
3.7833333,21.89,4.8158
03.6333333,25,5.49999999999999
07.3,21.89,4.8158
09.533333,25.75,5.66499999999999
08.6,31.47,6.92339999999999
09.7833333,27.68,6.08959999999999
09.55,25.75,5.66499999999999
08.41666666,36.93,8.12459999999999
07.016666666,30.25,6.65499999999999
07.8,37,8.13999999999999
10.85,30.54,6.71879999999999
06.25,115.44,25.3968
04.9166666,92.97,20.4534
06.81666666,83.5,18.37
07.4666666,129.04,28.3888
01.9333333,107.66,23.6852
06.5,56.31,12.3882
01.3,69.96,15.3912
10.8666667,63.52,13.9744
10.433333,77.86,17.1292
08.5666666,60.57,13.3254
08.5666666,64.39,14.1658
06.683333333,64.83,14.2626
06.466666,64.18,14.1196
07.233333,67.43,14.8346
06.5,70.94,15.6068
08.5666666,102.06,22.4532
06.466666,75.11,16.5242
08.5166666,60.23,13.2506
08.41666666,86.69,19.0718
06.56666666,63.84,14.0448
08.7666666,64.97,14.2934
09.2333333,69.02,15.1844
09.16666666,0,12.24
09.05,58.93,12.9646
06.53333333,55.95,12.309
08.41666666,57.64,12.6808
08.66666666,73.36,16.1392
06.583333333,74.89,16.4758
06.55,63.66,14.0052
08.41666666,71.55,15.741
06.25,70.05,15.411
08.1666666,72.85,16.027
06.18333333,68.89,15.1558
11.9666666,111.01,24.4222
07.8666666,73.43,16.1546
05.93333333,73.5,16.17
12.5,28.62,6.29639999999999
23.33333333,29.78,6.55159999999999
12.366666,35.16,7.73519999999999
20.7666666,47.41,10.4302
20.3166666,31.65,6.96299999999999
12.88333333333,36.52,8.03439999999999
00.6833333,83.42,18.3524
00.6166666,68.39,15.0458
17.98333333,29.59,6.50979999999999
17.1833333,25.75,5.66499999999999
11.9,36.66,8.06519999999999
21.6833333,33.67,7.40739999999999
11.933333,50.06,11.0132
11.8,33.84,7.44479999999999
20.66666,25.75,5.66499999999999
23.76666,42.35,9.31699999999999
22.9833333,73.55,16.181
12.933333,35.63,7.83859999999999
03.6833333,41.68,9.16959999999999
19.1666666,56.6,12.452
20.48333333333333,106.69,23.4718
07.9,96.84,21.3048
21.083333,25.75,5.66499999999999
23.8,44.65,9.82299999999999
13.45,74.92,16.4824
00.066666,49.25,10.835
12.4,33.69,7.41179999999999
09.883333,59.32,13.0504
16.36666,36.25,7.97499999999999
09.133333,35.28,7.76159999999999
21.5,17.33,3.8126
13.7166666,66.19,14.5618
13.6,35.2,7.74399999999999
21.9,41.07,9.03539999999999
06.366666,64.22,14.1284
14.7,80.67,17.7474
16.9,51.79,11.3938
21.6833333,78.81,17.3382
22.2166666,35.4,7.78799999999999
21.75,54.64,12.0208
22.15,35.73,7.86059999999999
20.3,28.25,6.21499999999999
22.65,33.33,7.33259999999999
16.2333333,43.42,9.55239999999999
22.9666666,70.75,15.565
